MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
6.866,0.006706,-0.39827,-73.473
9.0214,-0.008994,0.82256,-21.666
-21.031,-0.002043,0.07187,68.973
4.4897,0.003429,0.52534,-13.837
-1.5037,0.006473,0.22534,-61.712
11.919,-0.012007,-0.30938,-21.775
-10.744,0.025236,-0.44202,16.075
-14.444,0.020289,-0.15452,132.3
-0.11335,-0.014273,-0.52327,-31.525
2.9955,-0.023824,-0.28507,-6.9005
0.85622,-0.029762,0.21979,-19.523
1.3823,-0.028845,-1.3774,18.552
-9.4241,-0.03528,-0.67495,-55.502
-4.2912,-0.046989,0.14241,-76.877
-2.4426,-0.042365,-0.69509,77.475
-9.4772,0.030691,-0.063837,186.77
4.0294,0.019781,-0.4437,7.1964
-7.798,0.007626,0.10977,-82.389
3.6944,-0.011054,0.45977,-8.3633
6.9719,-0.017708,1.557,-43.042
-6.6496,-0.001993,-1.7388,-0.42653
1.0381,-0.006069,-2.3756,-32.652
0.90042,-0.000112,0.30422,15.85
4.6111,-0.02128,-1.243,-38.199
-4.3541,0.001427,-0.39052,29.446
-1.5658,-0.007975,-0.023156,2.521
3.1825,-0.022333,-0.76066,-117.63
-16.642,-0.039975,0.27059,-100.78
-5.1244,-0.039347,-0.35927,8.2446
-17.222,-0.021986,-0.80579,153.68
-2.0549,-0.016296,-0.53079,-19.69
2.4053,-0.004565,0.54143,28.081
-1.9861,0.013986,1.2206,-11.153
-3.5922,0.01128,1.6088,-24.554
1.8006,0.012357,0.61365,4.0731
-2.2935,-0.002358,-0.058573,-12.651
-9.7346,0.012711,-1.3561,-34.706
-14.497,0.029723,-1.3637,-2.0057
-0.29839,0.021755,-0.026225,-116.58
8.9192,-0.005961,0.50503,190.77
6.3411,0.013687,0.075164,-62.482
11.045,0.000338,-0.39636,-44.368
0.67909,-0.009451,0.52864,-0.21686
-6.5367,0.023939,1.4259,8.654
-1.0424,0.033779,-1.995,-16.605
1.9141,0.033841,0.06822,17.494
6.0234,0.03505,-1.6269,-35.504
-1.8721,0.028848,-1.2741,-30.828
-3.4033,-0.006312,1.4033,-49.483
-8.2279,0.012306,-0.15429,72.842
-6.7727,0.031208,-0.54179,82.37
-0.49669,0.016782,-0.085543,-91.605
2.6406,0.010001,0.2346,-15.109
-7.5476,-0.003849,0.31307,-61.219
-10.422,-0.006657,-1.0619,7.4064
-1.7969,0.006864,1.3103,-2.8478
4.3759,0.00491,-0.41054,-31.832
3.4275,-0.010158,1.6527,-29.908
-2.2259,-0.011454,-1.2425,93.87
-1.9798,0.019816,-0.01471,-36.305
1.2185,-0.026714,0.28778,-47.384
4.4793,-0.055159,0.78014,-71.909
19.241,-0.066329,1.6426,-136.56
8.0626,0.01851,-0.10111,-117.46
7.2429,0.010646,0.26903,50.539
-2.1889,0.013581,0.2225,-72.496
-6.1214,0.021554,0.1475,23.755
2.6604,0.009542,1.4197,-61.075
4.0067,-0.00964,-0.67611,-26.959
3.4276,0.017044,-0.18792,43.966
4.2643,0.001955,-1.1081,-35.807
0.57218,-0.012713,0.019721,13.394
9.1039,-0.021164,-1.6278,-1.511
11.286,-0.040895,1.0146,19.914
0.7937,-0.013537,-0.022931,-7.384
8.9734,-0.075783,0.43332,-153.73
3.0207,-0.061095,0.15346,-61.737
0.72972,-0.058149,-0.06807,-3.1228
5.5918,-0.061758,1.2319,-41.172
-2.2663,-0.056572,1.4292,50.524
0.3065,-0.027741,0.43332,-28.71
-1.5549,-0.039666,-0.003486,-23.661
-7.3098,-0.019671,1.2764,-14.559
0.14043,-0.011378,-0.69585,5.5667
0.94749,-0.045583,0.006639,7.9122
2.8641,-0.0336,0.549,2.5872
0.89539,-0.012961,-0.2135,48.939
12.544,-0.001846,0.34275,114.16
15.23,-0.006517,-0.51211,-95.789
10.802,-0.021744,-0.80864,27.875
-1.5133,-0.007907,0.96636,40.551
-0.32555,0.00774,-1.2614,-20.128
-2.1828,-0.003405,-0.78225,72.563
2.923,-0.014806,1.5809,-13.613
2.6319,-0.015836,-1.6392,-20.911
6.1268,-0.033204,-0.48642,-46.31
5.5357,-0.022292,1.1661,1.0104
7.146,-0.01379,1.9584,-32.565
2.2231,0.00118,0.74593,119.09
11.715,0.008731,0.50218,76.838
-4.8743,-0.014916,-0.15268,-6.2909
-11.779,0.02146,0.45079,76.649
-10.858,0.022572,0.92579,4.7993
-11.785,0.031773,-0.85198,1.4952
1.9347,0.022824,-0.32282,-15.589
4.0868,0.007663,-1.7596,-27.915
5.6453,-0.005935,0.49524,-34.037
6.3707,-0.022566,1.973,-38.362
11.713,0.023186,-0.3745,-37.441
6.6754,0.005079,0.56786,-40.116
-13.522,0.005943,0.15536,-30.414
-1.1955,0.023964,-0.21339,-40.189
-4.7914,0.024715,0.031752,-26.293
4.3191,0.03495,0.26022,-32.278
-0.56469,0.043217,-0.38978,32.823
3.6148,0.033397,-0.44255,-35.857
-3.6046,0.027807,1.1616,26.109
-1.5124,0.028246,-0.77519,9.8087
0.51798,0.053401,-2.4703,97.961
2.8851,0.05129,-1.4676,-40.164
-2.994,0.040484,0.73493,-14.593
7.5204,0.043876,1.1773,36.107
6.7156,-0.002895,1.1898,-63.441
4.9932,0.011842,-0.053956,22.209
5.7032,0.022288,0.56618,-20.419
14.696,0.023231,1.1447,-31.105
4.4803,0.021985,1.1947,-31.154
-3.9341,0.034719,-0.80812,37.792
-4.399,0.042959,-0.77896,-8.8924
-1.6551,0.054671,-2.1408,-0.49308
-2.8014,0.052713,0.8141,26.684
-2.646,0.043017,-1.6581,18.785
2.3931,0.009013,-1.3306,35.905
-2.6966,0.045928,-0.56327,134.56
8.4363,0.04478,0.59923,-31.868
-2.2458,0.036991,0.43048,-56.643
3.0925,0.024802,0.52561,-31.846
1.9639,0.0303,0.054087,67.818
-0.59935,0.044005,-0.045913,2.519
-2.9594,0.030491,1.3013,17.64
-3.7088,0.024617,0.63048,4.6308
-1.043,0.027574,-0.10633,15.355
-1.3513,0.01029,-0.17647,-26.568
-4.2093,0.016236,0.55131,34.333
-5.4777,0.070333,-0.7462,57.228
-4.5793,0.058983,-1.3038,42.178
8.6321,0.058569,-0.066343,-51.77
3.6797,0.025098,-0.43509,54.78
1.5858,0.003313,-0.21495,20.177
-2.5063,0.034563,-1.0615,45.892
-2.7966,0.037796,-1.5115,86.617
-0.075861,0.052637,0.96074,17.188
0.76344,0.043987,1.9899,-25.846
0.18444,0.029348,-2.8219,6.5784
-3.3511,0.017129,-0.36704,35.805
-13.889,0.064278,-1.8143,119.73
-6.0974,-0.013299,0.23823,50.027
3.68,-0.02199,0.80559,9.3516
-0.75572,-0.04109,0.11809,-20.771
10.948,0.035131,-0.000662,-38.321
4.2805,-0.000568,-0.73052,-12.775
10.838,-0.017918,0.37295,-49.81
-2.871,0.006906,0.79795,-39.084
1.1322,-0.00304,-1.1298,-19.489
-0.96203,-0.016525,-0.32566,-18.023
-2.8538,-0.019702,-1.3875,17.052
-1.7948,-0.014724,-1.6826,14.004
0.90516,-0.014233,0.070172,-19.496
-4.6081,-0.03011,0.74766,42.625
2.799,-0.020872,0.54002,-5.0001
-22.11,0.038959,-0.34748,-3.6731
8.1545,-0.046353,0.08377,-64.623
3.3281,-0.018351,0.17891,-24.927
6.8307,-0.028804,-0.14262,11.463
0.86457,-0.033789,0.38238,17.189
4.0285,-0.038608,1.9046,18.335
-3.2125,-0.028054,0.88377,4.4006
-2.1687,-0.019225,-0.25304,37.675
1.2229,-0.026094,0.55183,-5.1231
-1.0223,-0.033416,0.6046,22.153
-1.5226,0.020744,-0.99291,27.873
-12.959,0.017525,-0.57555,-36.827
0.47586,0.008112,-0.48805,34.175
-13.657,0.073291,-0.3318,-127.15
-0.90956,0.064803,-0.18666,90.997
-0.36034,0.044432,0.19181,-57.039
-3.2187,0.042232,-1.7832,-52.288
3.5955,0.046851,-0.93597,-31.417
4.519,0.021445,1.4432,10.074
1.1481,0.014414,1.3814,-14.977
3.513,0.00819,1.2363,-24.125
-0.59137,-0.002878,0.68903,-25.174
-7.04,0.01479,-0.48348,42.346
-22.843,0.047082,-1.0911,47.296
9.6125,0.017074,0.22138,-42.477
-15.365,0.010161,-0.67237,1.3484
5.4412,0.012891,-0.27723,-48.655
-7.3567,0.005081,-0.32376,-19.215
3.0646,-0.002538,-0.19876,14.46
-8.3254,0.005607,-0.15153,-5.0689
-2.0135,0.003923,-2.7974,-1.253
-0.35258,-0.005975,-0.65917,-22.679
1.6125,-0.011941,1.9707,-28.077
-2.6116,0.023688,-0.55153,66.549
5.0633,-0.006429,1.301,-18.68
-1.5892,-0.02661,1.0183,-64.305
9.4279,-0.006327,0.60581,59.022
-11.774,0.00828,-0.36294,21.222
0.24789,0.007937,0.082203,33.443
-8.6953,-0.01175,-0.16433,16.158
-3.9471,-0.004619,0.13567,26.808
-5.8822,0.006142,0.3579,18.779
-8.5621,0.029684,0.48706,118.72
3.4672,0.024978,1.1503,-21.455
1.9724,0.016992,-0.16988,-22.953
3.8084,0.005009,2.6829,2.0724
2.009,0.00839,-0.73962,12.343
-2.8448,0.007702,-0.22226,-38.557
1.5964,0.030946,-0.30976,83.82
12.539,-0.018527,1.5715,126.82
-8.56,0.001363,0.24163,-71.584
-13.532,0.003011,0.020106,95.981
-4.0381,0.007832,0.095106,18.157
-4.1557,-0.001977,-1.4577,-26.697
-0.18681,-0.006217,-0.27851,2.6935
4.3487,-0.015343,2.6847,-21.457
0.67772,0.002532,0.23955,81.67
2.7284,0.000552,-1.4577,24.621
3.6446,-0.041296,0.71982,-48.084
1.8826,-0.020241,-0.78782,6.8911
-2.4033,0.005785,0.34968,24.718
6.4788,0.013211,0.30593,-41.907
5.8996,-0.008009,1.0261,17.315
-6.5694,-0.011593,0.45454,36.654
4.8834,-0.01315,-0.52046,25.08
9.1502,-0.029911,0.20176,-40.099
3.3276,-0.036278,0.58093,4.0917
0.9705,-0.027315,0.51912,0.29105
-1.2024,-0.033741,0.44898,-25.882
4.1712,-0.039173,2.4268,-13.231
4.4951,0.015872,0.60425,7.7643
1.1444,0.013655,-0.65339,92.264
8.8641,0.013586,-0.11589,-54.809
14.955,-0.035948,1.0404,-89.484
-8.6878,-0.029638,-0.039504,-13.112
-16.551,-0.012076,-0.33603,159.53
4.0819,-0.01716,0.33897,30.528
3.0963,-0.01121,0.26119,-18.501
0.83501,-0.02113,1.0654,-7.885
-0.39846,0.013839,-2.8214,63.464
-2.2466,0.034972,1.2834,11.366
-3.9934,0.046225,-0.36381,-23.508
-0.39958,-0.036737,-0.036322,-5.3875
-10.859,-0.043572,-0.14396,58.763
-22.815,-0.044277,-0.98146,53.64
9.9127,-0.001695,-0.15021,45.54
0.77851,-0.025947,0.044928,17.261
-0.35867,-0.021401,-0.2016,-30.449
3.8557,-0.039534,0.6984,-21.424
-3.6847,-0.04489,-0.70438,4.5723
-4.6351,-0.041747,-1.0002,-1.0118
0.77544,-0.036915,1.963,-5.4125
1.6196,-0.037103,2.3678,10.94
-1.0623,-0.038171,0.97062,-9.6097
13.183,-0.046668,1.8481,-45.564
15.473,-0.060552,0.99047,-84.889
14.653,-0.077227,0.85297,-98.237
8.729,-0.052795,0.28422,-104.19
-15.9,-0.065379,-0.29564,2.1094
12.127,-0.053423,0.63283,-72.351
6.4357,-0.061831,1.7578,-27.275
5.3609,-0.059231,1.3301,61.17
5.9425,-0.051278,-0.49078,-21.189
-5.1835,-0.048918,0.22241,-14.589
-2.0537,-0.044031,1.6273,-10.062
1.7183,-0.042225,0.45505,-18.311
7.8217,-0.011462,-0.34246,-25.841
10.105,-0.024336,-0.025098,-58.116
14.812,-0.037094,0.4624,-11.914
14.999,-0.05821,-0.15635,57.361
23.303,-0.035657,-0.38621,-33.517
7.1156,-0.036232,0.24226,12.847
2.4006,-0.021769,-0.90774,-4.5021
2.9112,-0.040137,0.089485,11.944
6.4295,-0.031429,1.4187,-13.565
1.166,-0.031936,0.40685,-1.291
-1.9539,-0.026507,-1.6883,8.1361
-1.4642,-0.010844,-0.010515,57.762
5.2097,-0.00417,-0.13303,5.4822
16.634,0.016321,-0.91567,5.4322
19.232,-0.009416,0.17183,19.609
14.368,-0.058003,0.65308,-4.7407
7.5323,-0.026153,-0.25178,76.006
14.411,-0.041284,0.20169,-46.08
5.9007,-0.03128,0.70169,6.3461
-14.144,0.000748,-2.6511,5.942
2.909,0.008592,0.17808,4.7329
0.7507,0.009203,-0.20872,11.307
4.5757,0.002116,-0.35386,-18.991
7.825,-0.01,0.37392,-2.89
12.884,-0.021051,-1.1236,-27.87
7.0631,-0.038973,-0.13124,27.005
7.824,-0.0417,-0.46874,-146.29
-0.0856,-0.016328,0.087514,78.308
24.441,-0.002401,-0.21735,-41.621
18.189,-0.015656,-0.31387,-77.431
12.487,-0.028206,-0.063875,36.869
5.1996,-0.042828,0.45835,1.1652
-1.0032,-0.050865,1.6375,-4.8688
-1.0506,-0.047094,-0.024291,-15.12
1.7888,-0.045634,0.90557,-20.742
2.371,-0.040095,-2.3417,46.033
-21.468,0.01796,-0.51417,41.429
-14.216,0.03404,-0.096805,-11.071
-40.441,0.047094,-0.1843,134.86
5.9865,-0.026488,-0.15305,-30.194
15.291,-0.042172,-0.082916,30.077
