max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
189.66,0.27854,-1.0211,60.381
83.303,0.26916,-0.17183,43.654
174.85,0.31175,-0.97808,51.407
161.51,0.29844,-0.351,13.092
117.23,0.25724,-0.4385,7.0333
158.02,0.23468,0.66706,5.9421
159.53,0.25441,-1.3913,22.534
185.64,0.27403,-0.19197,22.33
61.137,0.24354,-0.65933,0.9236
64.729,0.2292,-0.3378,0.005509
89.407,0.21973,-0.10933,0.013963
127.17,0.23705,-1.0128,18.441
150.54,0.22868,-1.96,7.7535
160.75,0.26616,1.1566,33.717
182.86,0.26107,0.68094,11.073
184.57,0.37376,-0.39822,66.965
177.84,0.37742,-0.93017,22.988
154.95,0.38048,-1.1531,77.609
124.66,0.36152,0.30942,19.789
83.043,0.32519,0.15108,0.51811
57.191,0.28789,-0.61142,0.084483
65.161,0.2705,1.4351,0.00028
86.524,0.25744,-0.28642,8.4085
116.65,0.25277,-1.3399,0.019521
168.83,0.24719,-1.3371,39.573
174.26,0.32887,-0.47045,114.66
178.44,0.34511,0.77886,18.983
177.65,0.28031,0.62469,51.064
168.99,0.27342,1.1177,21.789
153.65,0.27368,0.29483,12.145
115.02,0.28084,-0.29267,14.384
84.894,0.27831,-0.001003,1.4679
61.047,0.25249,0.3865,0.81761
61.579,0.23998,0.40802,3.5287
85.352,0.22382,0.086497,0.0
117.79,0.2085,0.25802,1.4256
148.74,0.19102,0.010799,10.046
165.53,0.22196,0.50247,19.206
174.94,0.22546,0.10177,21.479
189.71,0.30483,1.9726,41.483
171.18,0.26466,1.7157,7.5891
146.11,0.24019,1.1427,20.883
118.88,0.22656,1.8552,4.8729
80.378,0.21368,0.34691,7.007
60.05,0.22013,1.0094,8.7708
64.553,0.21483,0.88094,1.7063
87.59,0.20772,-1.2406,0.19974
114.91,0.19633,0.83094,2.8696
137.23,0.22644,0.80871,32.471
157.85,0.22309,-0.34962,12.398
172.19,0.21304,0.39969,3.7568
177.66,0.22452,1.4955,7.4094
164.64,0.21579,2.1136,26.542
138.78,0.22563,1.3157,29.789
116.92,0.21768,-0.19684,6.6772
79.989,0.2006,-0.23018,0.31274
60.71,0.19538,0.007324,2.9565
65.97,0.19606,0.32885,1.1583
81.044,0.19414,0.38232,0.6911
114.14,0.18647,1.1789,5.9475
133.56,0.18781,0.80663,15.595
158.3,0.19245,0.89829,1.9796
170.09,0.22617,0.022599,17.668
182.93,0.19892,0.81843,9.3044
181.36,0.20719,0.11149,17.851
146.77,0.2418,-0.13643,20.715
116.73,0.22346,-0.47393,0.32629
74.813,0.20324,-0.15726,2.994
59.378,0.19572,0.48024,6.2707
64.153,0.19291,-0.14823,0.041086
85.411,0.18499,0.70524,0.000222
118.45,0.18255,0.30177,11.042
144.44,0.23139,-1.2955,22.031
172.48,0.28075,-2.2288,30.964
189.11,0.29645,0.79551,20.743
185.65,0.23907,0.71635,36.79
165.44,0.24621,-0.2906,12.121
139.38,0.24233,-0.013515,21.892
