MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
1.7654,-0.009329,-0.79135,-17.8
0.99446,-0.024107,1.0441,6.6509
-2.6289,-0.005269,-0.37537,13.352
2.1147,-0.029922,0.74754,-19.444
-3.8809,-0.011164,1.0253,32.894
3.0417,-0.009518,0.25727,6.6759
-5.062,0.003097,2.242,-0.044955
-0.23033,0.005394,0.87671,11.352
-0.037479,-0.004624,0.25449,4.1509
1.3584,-0.01217,0.28296,1.78
1.6568,-0.025288,0.29407,-7.3526
-1.0454,-0.030157,1.6406,-11.276
-0.85842,0.006308,0.56925,-13.973
1.7382,0.035951,-0.87103,13.056
-0.22832,0.016541,-0.011303,-9.697
-10.779,0.015902,1.2706,26.902
12.222,0.098368,-0.43839,26.678
0.8248,0.051421,-2.1655,13.657
2.3232,0.038098,2.8623,-13.33
-1.0902,0.012586,-0.11894,-4.0977
-1.4721,0.042413,-0.40853,-2.2727
-0.46695,0.05025,-0.58005,-9.7936
-1.8852,0.059651,0.50606,3.6738
-2.2145,0.02572,1.6526,-7.4991
0.19505,0.019898,-0.51876,-16.221
-3.2661,-0.004949,1.816,-16.442
-2.3608,-0.018947,1.2257,-15.896
3.1779,-0.002936,0.95763,-16.047
3.104,0.012425,-0.6264,17.879
1.596,0.029485,-0.80348,38.308
1.2785,-0.003763,-0.50071,-12.928
0.75155,-0.03044,0.36804,-10.921
-1.9972,-0.022713,-1.4965,-4.2714
0.38263,-0.034299,-1.2931,-13.167
-1.7096,-0.038458,2.343,-11.775
-0.75615,0.004505,-0.96043,-0.17276
-1.7533,0.007206,0.26823,1.13
-1.9398,0.002682,0.20295,-10.491
-1.9021,0.030294,1.3627,24.906
-4.6158,-0.013049,-1.2554,-9.7957
-2.7392,-0.025217,2.1356,-10.519
-5.4708,0.024963,-0.2165,44.435
-0.34347,0.036268,-2.1637,23.623
2.7749,0.000311,0.25503,-14.695
-1.1576,-0.013593,0.51545,-15.345
-0.15942,-0.00031,-1.4061,-4.8408
-1.4827,0.020493,1.28,-6.7485
1.05,0.028072,1.0016,-7.5714
5.514,0.012606,0.90521,-1.1186
-0.24878,-0.009432,-0.035066,-14.339
2.2148,4.1e-05,0.32466,-10.093
-0.10931,0.028862,-1.9184,21.081
6.1026,-0.009347,0.097573,-18.918
-1.128,-0.01068,-1.3045,-13.689
2.818,-0.010845,-1.0267,-0.90056
-0.1901,-0.017991,0.91702,-4.6436
-1.3825,-0.039953,-0.54757,-6.6186
-2.2538,-0.022833,-0.71909,7.3856
1.4014,-0.014724,-0.25798,-2.9471
-3.0883,-0.005374,-2.6115,6.055
-1.0593,-0.018799,-1.1578,17.533
1.1319,-0.026182,0.25192,-9.8631
1.6168,-0.035394,-0.81336,-18.867
-2.8251,-0.015235,0.44359,-14.143
-5.3349,-0.011959,0.70956,-15.117
-1.0965,-0.025013,1.3825,-3.8124
0.2784,-0.033877,0.13525,-14.199
-0.62579,-0.043402,-0.571,-11.517
-0.49403,-0.05307,-0.11058,-13.492
-1.6594,-0.06634,0.86789,-8.8631
0.58125,-0.020643,0.504,16.854
-0.1149,-0.038163,-1.5495,-11.794
1.0448,0.020453,-1.4208,5.1591
-0.6296,0.003503,-0.21109,-6.8617
6.803,-0.014368,-0.50137,5.6848
-1.2267,-0.027922,-0.44443,-10.742
0.95017,-0.021888,-0.27845,-14.54
-1.233,-0.031141,2.8195,-18.736
2.6128,-0.036408,-0.42776,-13.623
0.1182,-0.047464,0.61599,-11.266
-0.56676,-0.053717,0.30141,5.7091
-0.65135,0.030671,-0.84512,27.763
3.8875,0.066063,-0.85901,-3.4943
0.1449,0.027789,-0.43748,-9.1922
-2.0686,-0.017294,0.54117,-13.864
-3.0619,-0.012535,0.65089,-15.285
-5.1604,-0.001215,0.51062,21.036
-3.7529,-0.007532,-0.95744,30.16
-1.4041,-0.00662,-2.1165,30.561
8.2124,-0.013044,-1.6186,-18.86
2.4616,-0.026301,0.53423,-11.721
0.44576,-0.001179,-0.97202,-3.5895
-0.33404,-0.025618,0.43839,-7.2145
-0.59541,-0.037094,0.016865,-12.135
1.2687,-0.020597,-1.197,-11.743
-2.5789,-0.001631,-0.2505,-5.0409
-3.4097,-0.019223,1.8782,-12.963
2.5972,0.002912,-1.9871,-2.3339
0.96856,0.05536,-0.6024,53.188
-0.24667,0.00705,0.22955,11.961
-1.738,0.017509,-2.3795,-2.9374
-2.9811,-0.001479,0.14344,19.642
2.515,0.017819,0.071213,-4.82
0.62935,0.021787,1.14,15.612
1.771,-0.021501,1.1004,-14.513
0.8363,-0.021169,0.22885,-13.534
0.42539,-0.028858,-0.63504,-9.4916
-0.54181,-0.02078,0.78649,-9.9645
2.0653,-0.006861,-0.18486,-11.237
1.245,-0.004419,-0.82513,-6.1576
-0.15965,0.002581,1.1346,-5.586
4.8478,0.040393,-1.3835,-15.762
2.5335,0.015729,0.5575,-18.411
-9.3685,0.086036,-0.16958,0.79313
4.4269,0.054874,-0.8168,11.781
3.1582,0.084049,-0.023051,21.088
0.10016,0.11431,-1.4626,13.938
2.9703,0.083462,-1.2092,1.8174
3.6719,0.052987,-2.0981,-9.5402
3.181,0.019041,-0.52652,-12.163
-0.37421,0.028899,0.82713,-4.4104
-2.0106,0.011123,1.5369,-16.056
1.2924,0.017949,0.39657,-2.7097
-2.8823,0.013163,0.35352,12.364
3.8787,0.01914,-2.4305,-0.98466
2.5138,0.005102,1.2174,0.26951
1.5494,0.004066,-0.029814,-5.6423
-3.6125,0.012963,1.8639,39.99
-0.79715,0.027033,-0.12565,-7.0354
1.1316,0.021931,0.30282,4.0188
-2.6569,0.037033,-0.36106,-1.4388
1.0422,0.027775,0.11046,-7.3617
1.5107,-0.004328,1.5141,-14.309
7.4672,0.01728,0.19884,4.2202
1.3746,0.007395,-1.0414,-14.258
2.6442,-0.002502,0.91551,-12.31
2.8891,-0.020058,1.8065,-18.733
0.86478,-0.021891,-0.32061,-1.9541
-2.9557,-0.010854,0.38217,1.1341
-0.090169,0.00205,-0.12408,-5.459
-0.10783,0.054199,1.8613,7.316
1.411,0.012894,1.0398,-6.1798
1.4571,-0.000662,0.47592,-4.5874
0.93722,0.003556,0.69745,-9.5854
0.92707,0.08355,-1.4989,27.942
7.7667,0.056041,-2.8142,11.722
-2.0858,0.071366,-1.5295,27.568
1.5992,0.016386,-2.1725,-11.433
-7.841,0.024262,0.21846,17.018
1.7036,0.013025,1.9664,-11.403
-5.5722,0.028509,1.2692,14.51
-2.0953,0.045932,-0.012091,2.7174
-0.64435,0.015214,0.79833,-1.1076
1.3211,0.001107,0.5268,-10.228
-0.30282,0.023741,-0.36209,17.239
-0.04659,0.05752,-1.5156,24.941
1.1905,0.015385,-0.56191,28.969
1.3633,-0.003714,0.47281,-5.7271
-1.7565,0.006941,-1.4425,7.3945
-0.18424,0.054963,0.18948,7.9431
5.1725,0.020533,0.005451,-17.906
-0.9168,0.000518,0.80337,-12.126
-2.642,-0.009186,1.4561,-11.963
-6.0896,-0.006359,0.6749,19.669
-0.22976,-0.021717,-0.86469,-0.38122
-0.3269,-0.005962,0.76378,14.948
0.40183,-0.006625,0.9499,6.8403
0.038796,0.007772,-1.1286,12.392
1.191,-0.042463,1.0001,-12.505
0.92449,-0.033955,-1.0902,-5.3257
-0.28284,-0.039337,1.6695,-0.45415
6.5951,-0.018257,-0.098535,-17.681
-9.9442,-0.018652,-0.90756,55.246
7.9088,-0.012431,-0.23465,-18.075
