max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
168.43,0.4572,0.22036,23.454
144.48,0.45502,0.40647,18.695
179.68,0.45683,2.3856,59.918
172.33,0.4574,-0.27825,33.106
157.06,0.45707,0.29814,31.737
167.53,0.44352,-0.66159,31.487
177.42,0.45602,0.21064,53.514
165.38,0.45638,0.69605,42.219
131.95,0.4443,0.07383,20.408
149.84,0.43612,0.028691,14.538
161.39,0.42588,0.11827,8.215
172.38,0.41963,-0.22756,29.177
176.78,0.40995,0.021285,27.089
177.9,0.44379,0.14351,55.564
169.72,0.4554,-0.47108,28.358
169.86,0.45739,0.17823,104.33
145.31,0.45728,-1.4815,64.915
176.76,0.4571,0.25462,70.929
172.41,0.45682,0.10601,61.737
136.56,0.45731,0.23934,37.008
131.44,0.45404,-0.093299,32.548
158.44,0.44837,-0.33844,26.284
155.65,0.43208,-0.27385,25.972
171.73,0.41797,-0.29469,27.412
174.19,0.44094,0.52916,43.705
175.82,0.45701,0.87638,35.808
158.11,0.45721,-0.18821,40.086
157.27,0.4574,-0.4139,72.678
145.06,0.45728,-0.34862,48.222
157.63,0.45737,0.78749,24.281
133.74,0.45721,-0.28612,23.166
121.74,0.45724,-0.40279,22.031
143.74,0.4556,0.83957,16.729
127.61,0.44827,-0.20557,14.419
158.4,0.44059,0.20902,21.724
158.13,0.43407,-0.16182,18.537
172.4,0.42475,-0.16297,50.861
186.47,0.44626,-0.065751,43.212
174.85,0.45694,0.094666,31.499
168.89,0.45722,0.46897,56.34
162.86,0.45734,0.95925,53.353
174.05,0.45713,0.52036,32.823
160.49,0.45705,0.64675,48.153
142.12,0.4566,1.1551,30.806
143.09,0.44898,-0.47756,5.7691
147.21,0.42405,0.1273,20.732
158.15,0.40317,0.24189,15.116
183.82,0.39821,-0.10395,29.28
187.11,0.45689,0.9949,24.75
157.63,0.45712,-0.50788,50.275
164.72,0.45739,0.37754,54.498
172.83,0.45736,-0.27316,33.557
150.58,0.45736,-0.05788,64.82
172.89,0.45721,0.003231,32.063
144.78,0.4572,0.15462,44.297
140.68,0.45701,0.53795,32.609
124.58,0.45637,0.25531,32.934
139.97,0.45298,0.010176,26.951
190.17,0.45559,-0.67524,23.105
166.02,0.45529,0.32893,32.938
175.6,0.45496,0.027769,36.618
160.97,0.4556,-0.27501,36.32
174.0,0.45707,0.035408,40.573
179.0,0.4574,1.3097,32.993
166.44,0.45693,-0.10001,21.987
165.52,0.45678,-0.063897,27.903
159.91,0.4571,0.062492,42.909
126.52,0.45692,0.34582,28.998
166.02,0.45575,-0.41181,28.757
131.54,0.45728,0.34305,47.205
145.31,0.45683,-0.44237,29.364
175.01,0.45504,-0.088203,24.261
173.97,0.45713,-0.83936,27.917
171.63,0.4574,-0.39214,68.664
163.04,0.45714,-0.85672,17.432
181.74,0.45736,-0.60742,60.257
177.45,0.45729,-1.2171,28.964
162.92,0.4574,-0.68103,27.746
158.7,0.4573,0.27036,53.895
144.68,0.45711,0.078696,26.753
135.09,0.45578,-0.55394,15.302
149.08,0.45659,-0.54908,40.023
167.53,0.4566,0.040502,25.798
163.99,0.45733,0.31967,20.712
184.35,0.4519,0.94351,54.421
171.62,0.45548,0.74073,43.043
164.81,0.45739,1.0262,41.023
178.29,0.45739,-0.24954,29.468
168.65,0.45719,-0.48427,41.873
175.95,0.45717,0.17685,35.743
148.97,0.45718,0.17823,31.458
144.39,0.45653,-0.26343,17.38
136.88,0.44375,0.053928,17.55
146.03,0.44258,1.3088,15.656
160.61,0.42894,-0.17663,20.734
171.15,0.42759,0.10254,17.47
184.79,0.39637,0.42638,29.251
158.79,0.44102,-0.20139,43.325
165.0,0.44904,0.084022,30.55
146.9,0.45709,-0.36667,38.255
167.78,0.45688,0.64861,31.188
181.36,0.45537,0.80972,46.139
150.0,0.45685,-0.23889,22.605
130.96,0.45702,0.019438,42.191
133.39,0.45659,-0.4132,17.601
158.58,0.45644,0.59166,12.7
167.4,0.42518,1.6562,8.1865
163.54,0.39288,0.16041,10.06
165.87,0.45538,-0.015746,42.238
164.72,0.45696,0.28148,25.616
188.71,0.45726,0.59189,21.034
158.79,0.45497,-0.6838,15.423
167.01,0.4574,-0.26852,42.076
155.43,0.45732,-0.48241,21.446
145.68,0.45725,-0.45602,23.94
139.78,0.45432,-0.47269,16.243
127.64,0.4572,0.19467,31.112
148.83,0.45702,-1.0755,21.76
159.45,0.45017,0.33912,10.849
178.09,0.43954,0.11828,15.648
170.88,0.44904,-0.10787,24.649
176.17,0.45697,0.23935,55.274
157.67,0.45737,-0.42524,45.28
148.89,0.45728,0.14907,49.909
181.62,0.45732,0.11435,18.174
157.63,0.45738,0.000459,25.518
143.62,0.45704,0.17685,31.41
142.68,0.45691,-0.014819,19.672
106.56,0.45721,0.027542,24.529
154.81,0.45667,-0.8676,13.123
167.34,0.44935,0.27199,12.894
191.2,0.45489,-0.27385,43.68
179.37,0.43673,-0.25,44.08
178.13,0.43576,-0.25278,32.126
157.89,0.43681,0.18264,40.002
164.09,0.45725,0.35694,41.88
167.92,0.45689,0.34722,35.158
153.85,0.45704,0.23333,20.715
156.59,0.45733,0.98472,30.344
132.94,0.45666,0.56805,12.685
130.51,0.45653,0.48541,29.417
143.79,0.45393,0.49027,10.685
147.56,0.44113,-1.0951,24.914
171.8,0.44099,0.059024,32.577
187.28,0.45682,-0.44213,30.457
173.77,0.45732,-0.64491,35.121
176.3,0.45728,-0.65949,30.084
167.84,0.4364,0.26481,14.128
171.65,0.42984,0.28009,17.883
160.96,0.4349,-0.2838,38.499
142.73,0.45106,0.06759,49.632
154.98,0.45714,1.0259,37.522
131.9,0.45725,0.96828,71.677
160.58,0.45705,-1.0019,32.922
163.54,0.4562,-0.11227,41.78
168.39,0.45731,-0.7331,42.497
186.56,0.45607,-0.70926,24.734
158.44,0.45737,-1.012,28.042
153.71,0.45734,-0.57662,40.006
164.48,0.45736,-0.65232,46.19
149.44,0.45738,-0.68704,40.256
147.29,0.45718,-0.50093,31.024
149.26,0.45726,-0.62454,23.954
156.59,0.45694,-0.066206,19.37
132.54,0.45095,0.10116,24.645
155.5,0.45113,-0.19398,20.359
173.9,0.43896,-0.8044,28.27
183.02,0.45451,-0.67523,37.807
180.79,0.45516,-0.17639,39.204
185.79,0.45721,-0.054168,33.066
166.75,0.45693,-0.24375,30.643
159.21,0.45719,-0.71945,26.441
147.97,0.45736,-0.37917,45.125
186.04,0.4574,0.38194,44.447
152.0,0.45717,0.65833,41.251
138.19,0.45704,0.11667,33.043
147.81,0.45694,-0.065973,27.368
148.59,0.45234,-0.086112,15.889
159.93,0.43773,-0.29653,19.417
172.21,0.4437,-0.54236,16.222
172.88,0.42529,-0.043519,29.187
