max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
70.252,0.32135,1.0961,5.6756
218.82,0.35361,0.78851,19.014
120.18,0.34018,-2.6844,22.321
131.69,0.37467,-1.9851,21.534
210.94,0.37414,-0.44066,16.763
132.4,0.28266,-0.023295,33.487
92.076,0.31511,-0.28441,24.515
59.287,0.33113,1.2184,13.865
244.73,0.33169,1.3725,37.385
243.64,0.30724,3.8607,15.766
214.18,0.26384,4.0566,6.105
170.45,0.25583,3.3795,22.411
135.03,0.32879,-0.23366,26.429
78.309,0.34956,1.0802,26.104
55.68,0.35927,-0.917,9.4856
71.272,0.33457,0.53578,12.664
113.44,0.35036,0.98022,19.404
155.77,0.36123,0.45453,24.749
215.88,0.35877,4.024,19.849
219.96,0.35067,-1.5969,35.277
240.78,0.35753,1.1872,31.502
224.83,0.33206,0.77536,24.428
199.23,0.31709,-0.9038,25.586
171.49,0.31104,0.14411,5.0775
142.33,0.32882,-0.21903,15.571
85.947,0.39731,-0.15515,36.977
52.501,0.42527,3.1476,120.93
80.39,0.39251,-2.8746,50.174
115.01,0.39831,-1.6051,18.151
165.3,0.40251,2.1192,18.649
206.35,0.38737,-1.7614,19.835
227.52,0.38032,2.0178,20.144
227.91,0.38215,-1.9482,28.069
232.05,0.378,0.064993,11.075
216.06,0.35237,-0.51417,43.098
176.33,0.34585,-0.89126,7.9369
137.25,0.33514,1.4206,28.643
71.969,0.41206,0.70948,45.503
54.22,0.42045,-7.0127,15.363
68.763,0.42683,0.41504,15.788
118.37,0.42759,1.1095,3.1631
158.78,0.42719,-0.71621,24.321
188.16,0.43128,-3.0968,28.749
226.98,0.43156,-1.2926,18.186
228.83,0.41588,-0.93357,27.875
244.67,0.40505,0.35462,17.199
206.71,0.34765,2.7755,13.627
183.69,0.308,0.79837,18.493
129.37,0.41324,0.96023,37.482
85.778,0.42862,-0.35089,39.146
53.826,0.4318,4.2519,74.675
81.413,0.42124,-1.7453,6.7519
114.26,0.42864,2.5491,28.041
143.55,0.43148,-2.3766,24.291
200.23,0.43161,-1.2821,25.527
233.91,0.43066,-1.528,17.876
240.37,0.40425,1.0811,12.233
234.69,0.36721,-0.98075,8.2
205.13,0.32304,-0.53491,11.102
175.6,0.33387,-0.737,31.539
132.37,0.35576,1.3249,25.679
79.636,0.4228,1.3137,76.961
59.63,0.42547,-2.8585,12.281
77.667,0.43164,-4.3057,8.605
115.6,0.43169,-3.2613,80.012
157.57,0.43159,2.3881,64.371
204.5,0.4309,1.4825,25.636
230.08,0.42956,0.51166,20.727
232.85,0.41586,-0.52931,27.015
239.84,0.39029,0.23388,12.715
209.95,0.33895,-0.72028,15.942
191.86,0.33126,-0.19737,13.704
114.27,0.35596,-0.18551,20.561
89.414,0.38254,-1.5466,17.899
56.57,0.39354,0.50615,10.021
81.058,0.4207,2.4339,2.7594
119.84,0.42711,2.0534,12.273
175.87,0.42259,1.6777,23.149
212.64,0.42862,0.77212,20.58
213.38,0.42063,0.35129,15.544
238.96,0.42563,1.4103,14.196
238.55,0.38264,2.0985,10.319
215.87,0.34313,-1.8807,45.635
163.63,0.32966,2.1923,33.381
139.07,0.38576,-1.9459,19.45
87.517,0.41692,1.243,49.011
55.853,0.43074,1.2458,49.681
81.764,0.40476,0.87356,20.136
101.46,0.42214,1.968,36.044
148.67,0.42797,1.1923,17.844
210.7,0.42718,0.31175,18.958
214.15,0.41345,3.1909,32.387
240.53,0.412,0.84995,12.571
226.68,0.39777,0.21314,9.8588
214.39,0.36148,1.509,27.036
182.33,0.37435,0.15689,33.746
122.75,0.40438,-2.3813,11.826
84.425,0.4259,0.63264,54.289
59.475,0.42893,0.96041,16.924
77.852,0.43109,-1.6368,11.727
128.3,0.43092,-0.99236,16.169
162.61,0.43158,-0.34306,37.788
209.65,0.43097,-0.29861,34.711
244.65,0.40618,0.58055,26.369
244.04,0.38611,1.0646,52.551
215.98,0.38782,-0.84723,20.564
201.28,0.3795,1.0236,22.431
180.03,0.39986,0.52152,29.725
131.72,0.34861,0.70838,8.9106
85.514,0.33172,0.59727,10.931
58.611,0.33097,-5.425,6.5425
74.884,0.42956,2.9278,22.875
121.65,0.43173,-4.2277,35.923
165.99,0.43169,-0.22843,20.396
206.67,0.43051,0.86602,7.5838
240.09,0.42267,-0.67982,47.98
233.15,0.43046,-1.2208,21.558
224.96,0.41632,-1.4576,12.801
218.34,0.40001,-1.1368,7.4781
164.17,0.36977,-2.2638,15.661
120.78,0.41551,-0.87699,27.259
92.213,0.42809,3.3369,26.356
54.096,0.43185,0.28967,23.908
76.31,0.40915,4.3175,40.486
109.82,0.42653,3.6869,28.471
153.85,0.43158,1.3862,25.066
180.9,0.43153,-0.44435,34.936
212.48,0.43164,-1.6152,64.575
250.05,0.42981,0.86884,17.977
239.99,0.3903,-0.26797,16.644
209.78,0.37329,-0.047132,11.135
185.01,0.37014,2.2508,30.519
137.58,0.43135,1.2376,75.987
81.785,0.43177,-2.3985,21.094
53.252,0.43185,2.3793,17.985
75.454,0.43185,-0.96792,15.752
107.68,0.4291,3.0515,9.3069
161.48,0.43013,1.9008,26.097
188.3,0.4317,1.2953,27.666
213.25,0.43027,2.6994,27.08
229.07,0.42082,1.1335,12.262
235.86,0.40446,0.19666,12.589
221.3,0.38255,-0.057502,21.413
159.84,0.39887,-0.30959,19.415
140.72,0.41141,-0.047733,38.436
76.472,0.43168,-1.4338,31.393
55.854,0.43174,0.018933,56.382
81.441,0.43173,2.3467,22.788
123.69,0.43161,3.5662,15.166
152.38,0.42844,1.0655,19.563
208.64,0.42044,0.50991,22.455
227.79,0.40652,-1.2609,18.471
240.65,0.42737,-1.7269,42.124
234.25,0.42362,-1.2137,49.188
202.04,0.4215,-3.8679,24.883
171.67,0.42019,-1.17,23.26
133.27,0.42718,-1.4331,16.974
85.2,0.43055,-2.5192,62.795
54.815,0.43157,1.0586,11.863
81.382,0.4318,-0.18866,61.984
101.44,0.43158,-1.8692,25.221
147.72,0.4315,-2.1199,24.551
197.29,0.4304,-2.7505,27.489
223.82,0.43165,-1.3963,39.33
216.25,0.42771,-0.56227,17.368
235.91,0.42192,0.70092,12.954
205.09,0.4017,0.74676,29.054
166.68,0.42677,-1.4553,76.399
136.06,0.38034,1.3565,13.851
75.82,0.43164,2.8704,89.552
57.717,0.43166,3.3232,46.963
81.206,0.43174,-1.274,18.319
115.72,0.43154,-0.12958,26.173
163.03,0.43168,0.44472,36.593
205.59,0.43007,0.96417,38.069
239.8,0.42917,-1.1817,9.5013
239.05,0.39467,1.7524,11.795
228.17,0.38032,-1.0594,14.905
211.41,0.3868,-1.3136,44.449
175.49,0.39584,-1.1407,15.424
133.4,0.36848,1.1212,39.546
72.153,0.39015,-1.59,18.003
54.043,0.42609,-0.037176,39.048
72.13,0.43164,1.4156,28.828
116.92,0.4302,1.41,19.801
171.68,0.43053,1.1844,46.752
200.56,0.43111,0.4038,57.034
206.11,0.4317,-0.81704,29.428
236.71,0.43057,-0.85801,29.903
238.69,0.416,-0.24482,15.323
207.25,0.37471,2.626,7.8063
173.07,0.35471,-1.3261,41.348
142.58,0.42783,0.31079,30.521
84.132,0.43186,-3.1503,69.519
58.224,0.43158,1.2525,16.895
71.619,0.42963,-0.81977,22.146
111.27,0.42645,0.77468,5.6681
161.79,0.42806,-3.676,22.118
205.43,0.43003,-1.5316,40.82
240.07,0.42866,1.4976,26.633
244.34,0.41984,0.18162,9.1131
224.64,0.38988,-0.68018,48.108
212.02,0.38869,-0.40935,11.452
164.96,0.42669,-1.0864,58.96
137.62,0.39425,-0.024583,29.003
78.579,0.40673,-2.1107,15.77
55.743,0.41864,-0.58292,14.209
81.398,0.43102,-1.5801,10.15
100.68,0.43165,1.4643,32.18
171.89,0.43143,0.71361,16.981
197.67,0.43078,-3.0669,57.597
226.74,0.40759,-2.4878,36.439
236.62,0.39915,-1.8287,14.288
233.23,0.38269,-0.39055,12.702
215.5,0.37924,-1.9697,24.024
170.29,0.38636,-0.021805,34.925
127.09,0.35502,0.86505,70.017
71.46,0.37175,1.5289,10.989
53.03,0.39562,0.65671,17.325
82.343,0.42888,2.8595,47.275
101.65,0.431,1.7539,50.093
153.13,0.43186,-1.9968,31.577
188.14,0.43117,-1.2023,20.634
239.63,0.42745,2.6019,25.363
247.62,0.40204,0.91088,27.916
232.6,0.35505,0.54908,20.04
204.78,0.34646,-0.10509,8.0744
188.41,0.31981,2.9678,34.936
129.87,0.27956,0.57968,12.359
84.929,0.28091,3.4186,12.324
57.502,0.35215,1.6713,28.983
69.93,0.41169,1.5241,29.558
104.6,0.41616,3.7686,35.218
157.24,0.42275,-1.9571,21.424
191.73,0.42611,0.86232,21.291
220.8,0.42229,-0.60852,37.493
235.38,0.39242,-0.57449,11.291
234.03,0.36601,0.61371,16.911
214.96,0.31216,0.20954,7.7963
182.6,0.28361,-0.94254,6.4869
134.57,0.29418,1.8943,14.17
