MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
0.78471,0.006625,-0.39008,-0.2446
-0.96279,-0.01448,0.1502,-9.9106
-4.904,0.010443,-1.963,3.5901
-12.816,0.023159,-0.74355,4.0221
-0.89928,-0.005456,-1.2811,-5.0703
-1.7122,-0.009294,0.82937,0.21026
-0.035753,0.013859,2.4599,-2.0765
-0.34689,0.02613,0.56201,0.42762
-1.4271,-0.004553,1.037,-9.4682
-2.0449,0.017182,1.3252,-6.446
0.038114,0.003728,0.65992,9.7714
-0.93263,-0.005394,-0.3123,-20.182
-0.85686,0.003631,-2.453,-1.8173
-0.21084,0.002677,-2.3724,-2.0791
0.73148,0.008156,-1.0954,0.40004
1.6591,0.01553,0.60256,0.22781
2.2891,0.003383,-0.14536,-1.1875
1.3836,0.003044,2.1991,2.8695
-6.0166,0.051579,0.81159,-1.8229
2.0053,-0.004601,-0.43216,-14.213
-2.9844,-0.001848,1.0796,-15.571
3.5495,0.042615,1.6678,26.176
-2.1397,-0.006773,1.3276,-26.681
-4.2282,0.025751,1.2803,-2.6097
-1.3788,0.002705,2.6896,2.4801
-0.98399,-0.006659,-0.2548,-0.33172
-0.24931,-0.005699,0.047284,0.37245
1.6126,0.018076,0.8952,0.075224
-1.0986,0.007738,1.5473,-0.56505
-0.43673,-0.004436,1.0667,-3.2081
0.56838,-0.008976,0.029228,-4.1005
1.1173,-0.012501,0.56048,-5.8907
1.2604,-0.015441,-0.027716,-13.448
0.58184,-0.026805,-0.089522,-24.226
-7.6484,-0.023288,0.095201,-13.634
-0.62338,-0.016107,-0.35202,-4.8373
-1.9942,-0.024054,1.2823,7.1025
1.4847,-0.015251,1.3628,-2.3343
1.4514,-0.020481,0.96492,0.34486
1.5403,-0.008889,0.06284,1.1726
1.356,9.6e-05,-1.5101,0.13236
-4.0287,-0.009542,-0.39063,4.0643
-1.5567,-0.007101,-1.0281,3.6469
-7.6743,-0.002954,0.65312,5.1567
1.0971,-0.004497,-0.43508,3.974
-5.1572,-0.011876,-0.37188,-19.054
-0.76704,-0.048884,-0.11216,-24.161
4.528,-0.007781,0.79062,24.885
0.25534,0.004011,-0.60008,-2.1501
0.39418,-0.007952,0.90548,-2.6869
-3.521,0.011919,-3.9674,0.31727
2.304,-0.021782,-1.5945,-0.054953
4.0361,-0.016774,-3.1674,0.67977
4.8548,-0.023021,-1.123,-5.0383
0.011762,-0.018724,-0.010493,-3.4056
-3.4954,0.002822,0.24576,15.054
-6.5158,0.010918,-0.49244,31.846
5.265,0.00387,-0.55424,-4.4063
2.7088,0.045914,-0.76952,68.436
1.0405,0.012085,-0.41674,-4.5175
-2.776,-0.010441,0.64256,0.59732
0.74228,-0.019386,-0.90188,-2.7145
