MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
0.78997,-0.051626,-0.061114,-13.724
-20.347,0.007763,-2.0194,28.708
-3.1241,-0.047524,1.4437,10.988
0.52734,-0.019442,-0.54723,38.994
1.964,-0.00873,-1.0438,-10.756
-0.3644,-0.01192,-0.30417,-25.779
0.84637,-0.020862,-0.73125,4.8283
1.074,-0.035328,-1.4299,-43.122
-6.8742,0.019496,-2.2639,18.203
0.89286,0.014103,-1.2736,-14.315
1.9211,0.00071,-0.18403,1.9741
5.51,-0.00349,1.4243,5.3221
2.4133,-0.003912,0.8336,-48.044
4.5357,-0.043389,0.85652,-49.836
-0.46717,-0.049673,1.5579,75.213
3.3154,-0.039557,-0.12335,-30.914
1.4776,-0.034022,-1.7185,-9.3766
-3.5401,-0.022137,1.6655,0.90468
-9.8526,0.005437,-0.28098,34.705
1.601,0.01647,-1.2817,-23.181
4.0157,-0.006909,0.49888,-19.237
0.26286,0.000414,-1.3108,-7.3543
-6.6621,0.012671,-0.24626,53.085
-0.40961,0.009593,0.48707,7.4325
-3.186,7.1e-05,-1.1286,-21.884
2.0767,0.000624,-0.005715,30.974
2.6754,-0.003473,0.57067,-30.177
-0.257,0.000894,2.5144,-11.079
-3.1901,0.017527,0.51928,-3.3662
-3.0837,0.016532,-0.74669,-12.61
9.7009,0.017344,0.95678,-34.035
-0.68463,-0.006675,0.60609,-6.971
2.9226,0.018704,1.1116,0.29842
-1.529,0.004209,0.65192,17.156
3.5687,0.002784,-0.73349,-0.005049
0.98233,0.00204,-0.20016,13.468
6.0381,-0.016402,0.78414,-50.048
0.14387,-0.035365,2.9321,6.7095
-0.35696,-0.030274,0.20844,15.034
1.1023,-0.017977,-1.0228,-41.743
-0.69816,-0.025637,-1.6679,-22.131
4.2331,-0.028899,0.54108,-24.825
0.78666,-0.030026,-0.13045,22.925
-0.27692,-0.019314,-1.5561,-25.311
4.3183,-0.032166,0.34942,-21.141
0.51991,-0.004262,0.98969,25.566
-15.539,0.002947,-1.3957,72.405
7.5461,0.018701,1.6126,-27.722
3.7267,-0.012476,-0.65309,-15.788
-3.2753,0.011024,1.0448,102.39
0.15337,0.033389,0.44621,-39.756
-0.56134,-0.020868,0.66496,-19.183
-3.2248,-0.015157,-0.53018,6.6296
-5.214,0.009556,-2.4961,27.936
-2.3356,0.010851,1.5573,-35.414
-25.739,0.022761,-3.9184,44.75
-3.2798,0.046356,-1.5128,32.044
