max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
1.0295,0.26038,-3.0332,4.2519
147.24,0.25229,1.53,18.666
6.5277,0.26038,-4.1298,15.32
37.941,0.26038,-1.6617,6.7463
106.01,0.26034,0.47093,2.7922
14.016,0.25975,-1.7187,27.287
1.5191,0.26008,-5.2735,9.1854
0.25478,0.26038,1.1133,23.346
156.16,0.24966,1.8973,14.885
137.45,0.2495,0.98968,7.6767
100.85,0.24639,0.48343,14.393
51.156,0.25264,0.72232,24.968
12.968,0.25974,-0.38779,17.886
0.98801,0.26038,-0.56765,15.62
0.015276,0.26038,-7.3308,4.4046
1.1125,0.26038,-0.12737,6.501
3.025,0.26038,0.1261,8.1624
26.25,0.26038,-1.6808,9.5367
91.618,0.26026,-0.89821,6.0767
140.98,0.25678,1.3108,15.502
135.89,0.25548,-1.1218,7.6653
129.18,0.25222,-0.65446,16.659
102.2,0.24839,-0.68571,7.6014
70.706,0.2551,1.6782,23.546
16.948,0.25748,1.3931,18.313
0.1629,0.26038,1.3632,15.99
0.34757,0.26038,0.55002,12.297
2.449,0.26038,-3.0715,13.657
2.8961,0.26038,0.35696,15.068
33.133,0.26038,2.775,7.108
82.122,0.26016,0.48265,5.7703
159.36,0.25862,-0.15832,12.14
171.11,0.25147,0.50904,8.0796
168.66,0.24017,1.3514,35.435
148.13,0.22629,1.0202,13.146
57.065,0.2506,0.73404,23.691
16.504,0.25749,1.6989,18.54
0.13408,0.25814,0.76907,8.8135
0.10225,0.2594,1.9559,10.628
0.30377,0.26038,5.2094,13.123
2.0407,0.26038,-1.7122,8.1828
33.948,0.26038,1.4059,7.3046
82.977,0.26032,0.28852,27.035
101.7,0.26038,-0.10245,20.357
161.96,0.26006,-0.21009,9.2111
156.6,0.23734,1.0323,6.4063
128.31,0.22903,0.57602,23.078
50.395,0.25036,0.68991,29.941
16.748,0.26026,1.3548,16.131
2.2094,0.26038,3.1999,14.65
0.84262,0.26038,4.5617,12.024
0.30409,0.2596,-2.4098,16.936
6.0894,0.2596,0.018686,11.882
36.924,0.26029,-1.6133,8.1175
114.71,0.26027,0.89438,4.5006
140.09,0.25832,1.4534,12.954
162.95,0.25785,0.24577,12.187
157.72,0.24763,0.23813,10.084
113.11,0.25113,0.78188,19.071
61.8,0.25237,-0.60423,13.919
16.488,0.26038,2.2357,19.023
0.29293,0.26038,-4.3692,15.405
1.9293,0.26038,-3.7074,13.363
1.4824,0.26038,-3.5539,9.2596
8.052,0.26038,-4.3255,3.6755
32.832,0.26038,-0.5074,5.8467
75.635,0.26038,-1.2748,12.981
153.53,0.25989,1.2343,5.5516
164.84,0.25541,0.12663,15.295
136.82,0.25715,-0.28101,22.341
89.425,0.25903,-0.58726,13.998
53.696,0.26033,-2.3234,24.04
11.365,0.25893,1.2165,13.523
0.74084,0.26038,3.4867,14.443
1.2455,0.26038,1.4735,21.54
3.6086,0.26038,-5.1231,10.047
0.73691,0.26038,-5.4196,0.37589
29.346,0.26038,1.9735,11.418
78.951,0.26032,-2.0439,4.4301
119.28,0.25949,0.44013,9.7315
176.48,0.25861,2.3075,12.003
178.16,0.22897,0.14986,20.221
88.773,0.25356,-1.9314,17.999
60.519,0.25439,-2.0925,8.907
18.386,0.26038,2.3474,28.374
0.70068,0.26038,0.56753,15.579
1.1389,0.26038,1.0793,6.2999
2.1458,0.26038,-8.0672,4.6537
3.6957,0.26038,0.16128,11.927
25.522,0.26038,-3.9707,9.5536
96.414,0.26035,0.88697,9.2314
161.36,0.25737,-1.004,7.7636
135.26,0.25437,-1.5366,9.5038
151.24,0.25311,-0.19428,6.9258
90.335,0.25076,-1.5255,14.257
63.185,0.25777,-1.8116,20.437
13.468,0.26038,-1.1468,12.953
0.6702,0.26038,-0.15161,6.0656
0.70521,0.26038,1.8852,8.2994
0.11893,0.26038,4.5887,8.5698
2.6393,0.26038,2.2671,10.109
30.317,0.26038,-2.1398,11.098
92.573,0.26031,-1.6072,8.8597
142.79,0.2596,1.2769,10.349
172.02,0.25461,3.6442,5.5304
112.43,0.25876,-0.21342,19.454
109.79,0.26038,-0.29467,25.4
56.216,0.26038,1.7442,18.527
15.28,0.25419,0.30911,8.8018
1.4207,0.25785,1.5793,11.573
0.27068,0.25836,0.41606,10.869
0.26723,0.26038,7.9195,24.281
2.4748,0.26038,6.698,12.332
26.499,0.26038,3.0161,10.307
86.54,0.26038,0.3487,7.4918
157.3,0.25889,-0.44228,8.2717
166.12,0.25336,0.17508,16.348
174.39,0.2465,0.29245,11.264
81.162,0.2495,-1.3388,14.874
63.458,0.24961,-0.024915,8.736
15.354,0.25908,-0.13502,20.72
1.0774,0.25954,-1.8649,7.7338
2.1495,0.26008,3.4969,8.4066
0.39773,0.25996,3.9254,15.012
2.2221,0.26038,8.2539,13.645
24.651,0.26038,4.1219,24.162
91.097,0.26037,0.95456,9.2917
140.79,0.25849,1.4136,4.9108
149.12,0.25524,0.73095,20.217
157.61,0.25769,-0.55169,16.285
113.59,0.25214,0.26706,21.568
55.987,0.25555,-0.74405,20.089
15.742,0.25001,-0.47916,8.4056
0.42594,0.25509,0.99098,16.48
0.14696,0.257,3.4028,11.851
0.73633,0.26038,1.1813,6.5456
3.5256,0.26038,-1.4653,5.451
34.501,0.26038,2.2278,7.3854
98.903,0.2601,0.71042,4.0108
164.18,0.25631,-0.35555,2.3086
151.32,0.24832,-2.5132,12.965
173.86,0.24279,1.7042,10.725
135.75,0.2374,0.87292,8.8646
77.768,0.2482,0.086811,22.68
20.866,0.25597,-2.7983,5.4166
0.90335,0.25782,-0.77816,15.1
0.39184,0.25906,2.4836,12.735
0.23793,0.25828,5.5371,15.575
2.9894,0.25858,3.9906,9.0829
31.694,0.25908,2.4586,12.523
71.441,0.25887,-0.58372,8.2954
156.66,0.25887,1.7503,13.13
162.88,0.23364,2.1177,2.8946
161.72,0.2217,-0.93997,17.852
85.074,0.25018,-1.7712,21.275
54.731,0.25537,0.36767,29.103
14.302,0.25682,-0.89244,15.032
0.28138,0.25834,-2.3223,6.6801
1.0564,0.25971,-2.0355,9.144
0.37445,0.25976,3.518,15.715
3.0735,0.25983,3.8465,12.782
26.7,0.25984,0.43951,9.453
116.97,0.25953,0.67215,7.6439
146.25,0.25892,1.5312,12.007
162.24,0.24474,-0.95146,3.6289
155.95,0.24862,-1.5841,26.65
90.702,0.25234,-2.2654,18.75
58.993,0.25235,-1.9515,22.668
8.7883,0.25706,-0.71157,13.901
2.411,0.25926,1.5336,22.816
0.51283,0.26003,2.3704,10.516
1.6116,0.26038,-0.55116,12.228
1.336,0.26038,-4.8227,5.4982
18.403,0.26038,-0.30463,8.7602
69.835,0.26038,0.60301,9.9301
145.91,0.25953,-0.83796,5.6089
148.18,0.25359,-1.9456,8.0296
173.86,0.2428,2.2718,5.8195
127.71,0.25006,-0.059489,22.374
72.346,0.25475,-0.8206,21.013
14.529,0.25569,2.5193,15.842
1.1772,0.25646,-1.9606,6.0946
0.0,0.25655,-4.7738,3.0201
0.20712,0.26035,1.5547,14.252
2.3336,0.26038,2.9082,9.0423
31.06,0.26038,0.77624,4.5659
86.39,0.26009,-0.86613,4.0273
158.07,0.25879,-1.0571,14.185
183.89,0.25887,0.36026,18.374
170.89,0.24943,-0.59738,12.919
124.49,0.24285,1.0214,6.4687
74.606,0.25121,0.63526,19.963
14.321,0.2581,1.2002,23.585
1.9369,0.25975,-3.1297,12.156
0.25037,0.25999,-3.4429,9.8568
0.21157,0.25723,-1.6144,7.0706
4.096,0.25755,-3.561,12.438
30.799,0.2577,-1.5679,2.4835
91.716,0.25762,0.21474,4.6511
122.16,0.25891,-2.1512,19.506
146.37,0.25686,-0.38387,19.932
143.52,0.25805,-2.0665,13.338
111.14,0.24447,1.4022,16.543
66.135,0.2516,-1.5339,23.673
9.724,0.25807,-1.569,13.924
0.97758,0.25927,1.3262,9.3578
1.1312,0.25974,2.013,10.829
0.35427,0.2602,-1.2336,14.132
1.7958,0.26038,3.6199,11.25
24.369,0.26038,1.888,12.871
87.817,0.26032,-0.9044,5.1531
159.31,0.25962,-1.2954,12.381
171.27,0.25681,0.77199,17.259
155.63,0.2577,1.3644,16.834
125.57,0.25174,3.2331,19.502
43.273,0.25561,0.57199,15.478
17.703,0.26038,-1.7131,18.829
0.14258,0.26038,-3.018,7.8212
1.0386,0.26038,0.99382,11.713
1.3986,0.26036,2.3473,8.3904
3.6568,0.26038,5.0258,15.086
32.351,0.26038,-0.63118,10.887
75.067,0.26038,-0.84854,11.058
151.08,0.26014,-0.13951,4.0681
117.74,0.25844,-1.4221,16.314
116.9,0.25909,-1.8048,18.519
110.94,0.25936,-1.436,12.112
71.168,0.26021,1.2279,12.347
