max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
191.22,0.36403,0.1771,60.948
125.44,0.32124,-0.27776,1.7848
188.68,0.32854,0.92571,36.935
168.46,0.36097,-0.6854,36.288
138.97,0.33442,0.40696,19.914
178.1,0.27632,-0.52568,6.1112
186.42,0.26225,1.3188,6.7269
186.02,0.34208,-0.58193,44.974
94.045,0.30431,-1.1764,11.551
96.289,0.30985,-1.0285,22.52
126.75,0.30647,-0.8361,8.1584
137.45,0.29144,-0.054847,3.8331
167.47,0.28891,-1.821,7.2554
193.0,0.27378,0.12342,14.117
192.36,0.31068,-0.40227,20.057
196.34,0.36263,0.78176,29.423
163.56,0.38769,0.10537,46.536
167.52,0.40889,-0.20574,39.441
135.3,0.39425,-0.83838,13.035
122.76,0.3787,-1.3731,12.321
99.42,0.35386,-1.1467,1.7278
95.997,0.33681,-0.9488,18.52
131.49,0.3359,-0.15644,3.2172
157.77,0.31659,-0.85019,7.5325
168.18,0.37811,-1.2664,57.107
199.31,0.37287,-0.67192,27.841
203.64,0.39622,0.32739,36.853
186.73,0.41442,-0.063585,43.846
163.89,0.43343,-0.21497,51.806
164.06,0.43099,-0.17609,23.904
140.0,0.41121,-0.13372,15.207
116.92,0.39042,-1.0934,9.8711
99.614,0.36918,-0.26706,11.229
105.9,0.36023,0.080859,13.462
134.18,0.34312,-0.40178,4.7955
147.91,0.32214,-1.3455,11.116
173.92,0.28432,-0.6117,16.183
184.6,0.30572,1.2577,66.219
182.94,0.33138,0.13205,45.847
178.37,0.36569,0.86607,11.273
178.87,0.39333,0.46468,68.662
168.66,0.38363,1.2036,22.527
148.31,0.36427,1.1959,28.147
121.46,0.33981,2.1362,14.941
98.852,0.31486,1.5876,6.2038
97.385,0.30941,1.1855,10.187
121.52,0.31008,-0.62212,3.9273
159.39,0.29821,0.80913,0.42384
185.29,0.30595,0.86795,9.1933
183.37,0.33872,-1.1376,20.707
185.83,0.38674,-0.6633,28.869
187.87,0.38117,0.64573,73.526
170.97,0.40371,-0.18066,74.814
148.24,0.43444,-0.11677,52.838
148.53,0.43407,-0.12441,24.033
117.51,0.4138,0.94087,23.543
99.936,0.41146,-0.13274,7.5678
100.2,0.39463,1.0652,2.0427
126.92,0.3685,-0.26746,4.1945
154.11,0.3376,0.46379,1.7321
187.4,0.29676,-0.002387,6.8681
187.86,0.30634,-1.2829,20.089
176.58,0.35929,-0.85864,21.928
189.81,0.39109,0.075391,45.691
165.32,0.41129,-0.226,46.769
171.1,0.42997,0.18789,77.923
135.74,0.43637,-0.49475,50.091
123.41,0.40676,-0.67947,7.3992
102.52,0.38013,-0.72808,5.3929
99.565,0.35615,0.31984,1.8688
113.34,0.33627,-0.2378,3.6942
154.32,0.32061,0.56845,13.491
166.28,0.30062,-0.57273,16.362
180.0,0.31685,-1.2783,41.541
200.3,0.38274,-0.45398,46.41
169.56,0.43113,-0.89495,69.751
187.54,0.43707,-0.22134,56.438
179.07,0.43262,-0.23245,24.109
147.7,0.43404,0.33491,19.46
122.88,0.41718,-0.024812,1.7512
103.57,0.38295,-0.67342,14.483
99.335,0.36842,-0.000506,3.4553
131.96,0.34991,0.29185,0.35851
153.25,0.31794,-0.4019,4.2032
177.33,0.28173,-0.84307,16.546
186.09,0.26923,0.85137,19.134
191.07,0.28836,1.3257,26.451
198.06,0.41694,-0.29029,55.276
186.1,0.41361,1.0333,26.1
176.49,0.41042,1.1722,13.986
