max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
124.55,0.42579,0.085141,44.908
132.18,0.45812,0.69139,19.826
120.62,0.46005,-0.31625,70.673
124.28,0.45998,0.18931,37.973
134.78,0.45981,0.41639,28.743
149.48,0.32936,0.11014,17.738
148.91,0.34812,0.051113,59.163
151.2,0.35758,0.28584,37.868
129.91,0.43729,0.48097,7.3596
145.7,0.40947,0.008057,5.4723
150.12,0.37714,-0.38916,5.1545
150.08,0.34305,0.23931,21.783
152.95,0.32351,-0.18214,13.142
159.34,0.31927,-0.041163,24.704
143.39,0.35411,0.59356,29.702
119.24,0.43195,-0.082136,58.699
142.49,0.45886,0.36648,44.364
137.42,0.45954,0.39703,37.275
148.7,0.45972,0.87411,24.467
145.51,0.44639,0.12411,30.999
139.77,0.43504,-0.6113,21.391
148.59,0.41591,-1.1842,23.377
157.23,0.38201,-0.98144,6.7963
162.1,0.34935,-0.97797,1.9368
150.62,0.32937,-0.074412,21.243
152.41,0.32529,0.14156,5.1895
145.62,0.32194,0.076283,37.118
122.82,0.44796,-0.24941,63.544
130.89,0.46005,0.0492,36.66
129.85,0.45988,0.30476,39.093
121.35,0.46005,0.13184,63.003
131.15,0.4598,-0.018162,18.717
138.58,0.44533,0.071422,6.3008
136.33,0.41279,-0.076495,3.9937
154.94,0.38031,-0.39872,8.3921
152.73,0.35009,-0.47024,10.379
153.4,0.31172,-0.64169,12.245
147.56,0.30138,0.049285,10.12
143.68,0.33653,-0.31599,23.005
136.63,0.3706,1.1083,36.209
157.71,0.42971,0.90692,59.486
141.67,0.45982,0.71248,40.017
124.06,0.46002,1.1146,33.945
130.97,0.45174,0.98956,5.6923
140.46,0.42851,0.50415,6.555
147.8,0.39937,0.33123,8.142
142.93,0.36666,-0.89099,2.9666
157.7,0.3365,-0.087521,2.4636
148.18,0.36837,-0.60896,21.971
137.61,0.38374,-0.017992,20.193
136.76,0.4037,0.19173,33.668
122.3,0.37789,-0.38396,26.251
112.73,0.44777,-0.41035,33.319
