max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
155.08,0.34535,0.65098,23.999
250.4,0.25508,1.1822,26.013
191.47,0.33627,-0.89763,24.948
227.28,0.32796,1.1642,24.782
234.65,0.275,-0.82749,20.031
181.03,0.35361,-0.18097,34.103
157.02,0.35331,-0.72333,55.581
124.42,0.35222,-1.4796,24.174
236.43,0.31482,0.50028,26.134
235.98,0.33653,0.43501,35.392
237.28,0.34542,0.18501,24.28
203.34,0.35357,0.004451,46.375
180.38,0.35129,0.49545,45.035
152.98,0.35054,-0.32191,12.03
140.94,0.32843,0.52184,35.686
152.54,0.34444,-1.7726,9.1312
188.53,0.33585,-0.94622,37.066
234.44,0.33901,-0.059412,45.775
246.4,0.30696,0.073921,56.94
253.71,0.2808,0.80864,33.26
193.58,0.34312,-0.3483,37.203
227.16,0.3443,-0.16358,22.133
210.2,0.34972,0.11142,34.507
208.5,0.35026,-0.24413,54.422
197.38,0.35358,-0.32814,49.67
152.39,0.35329,0.029504,36.997
146.1,0.33808,0.27325,16.782
155.11,0.33502,1.1038,33.933
181.89,0.3296,0.8052,35.23
229.62,0.32799,0.792,20.216
248.02,0.27946,1.0253,56.357
253.0,0.28324,-0.23994,24.384
234.48,0.30171,0.40311,26.385
234.71,0.32373,-0.11216,26.601
235.13,0.33068,-0.037163,27.317
211.19,0.35374,-0.41772,55.188
184.65,0.35319,-0.00172,47.307
164.63,0.35272,0.85592,36.177
149.4,0.35075,0.54967,54.451
161.79,0.33713,-0.39478,17.435
168.18,0.30916,-0.46839,27.558
216.13,0.30213,-1.3316,26.621
254.65,0.26181,-0.32325,15.226
253.56,0.22439,0.81147,13.799
233.18,0.26671,1.0795,75.131
238.68,0.32993,-0.085748,55.695
245.45,0.33793,0.16425,31.511
191.19,0.35293,0.2587,27.166
192.7,0.35368,0.8747,29.301
157.37,0.34094,-0.11767,36.821
141.69,0.32944,0.70108,9.7331
142.85,0.34942,-1.0684,23.885
174.54,0.34927,-0.69197,36.602
231.27,0.33262,-0.33017,8.5835
254.55,0.27667,0.75317,3.1227
252.18,0.34883,-0.56211,79.911
250.5,0.34876,-0.64405,19.396
238.09,0.34953,-0.63433,34.657
232.92,0.3496,-0.60933,23.087
181.88,0.35345,-0.68989,72.383
181.51,0.33972,0.52611,65.654
166.37,0.34085,0.83375,29.641
143.41,0.34162,-0.0975,46.968
169.25,0.33376,-0.71694,26.792
181.37,0.3123,0.18444,13.354
224.5,0.29926,0.29625,19.747
246.47,0.29207,-0.29542,28.251
