max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
137.17,0.32329,0.065422,1.1895
220.58,0.26124,0.20223,47.238
171.72,0.29977,-0.39361,0.4023
203.43,0.27727,0.000839,0.17449
217.39,0.25423,1.4904,7.1476
154.04,0.40029,-0.80055,53.742
141.57,0.3856,-0.047772,0.86339
123.25,0.34832,0.24389,0.20201
131.79,0.32457,-0.35124,40.945
116.24,0.37093,-0.056106,51.108
146.1,0.38101,-0.53319,36.125
141.73,0.38624,0.32098,28.552
160.19,0.45376,0.2192,44.512
154.34,0.44801,0.67198,68.624
117.47,0.43892,-0.28636,2.8029
141.05,0.32042,0.31017,5.3846
170.66,0.29981,-0.023857,1.5057
196.39,0.27715,-0.47941,0.6216
214.09,0.28531,-1.4898,47.115
210.91,0.3531,-0.30302,94.897
158.72,0.42398,0.043504,65.501
135.05,0.44766,-0.46136,104.94
138.14,0.45274,0.16156,67.87
163.4,0.45428,-0.084274,56.177
163.65,0.43198,0.38895,6.6074
145.45,0.39101,-0.43327,3.4915
120.79,0.35588,-1.0416,0.035109
139.87,0.40765,-0.19508,0.012734
171.95,0.3724,-0.42911,2.6132
199.51,0.33778,-0.83466,6.0848
211.3,0.29943,-0.49508,5.9037
215.03,0.2729,1.0417,9.3057
160.33,0.36181,-0.21175,33.727
182.11,0.38847,0.35839,32.303
143.77,0.42725,-0.34369,85.756
174.07,0.43166,-0.13952,52.139
150.49,0.26891,0.1337,14.887
120.75,0.26259,-0.13853,16.038
121.08,0.25671,-0.94686,3.8376
130.28,0.32875,-0.42533,0.58335
159.42,0.30612,-0.30936,3.2154
204.42,0.28597,-0.26491,0.59063
218.76,0.26215,-0.15033,2.6923
207.11,0.24254,0.61147,3.3442
197.9,0.23402,-1.617,21.552
169.68,0.23834,0.55314,13.941
130.15,0.29326,0.27606,52.752
152.51,0.28609,0.45522,5.5542
154.08,0.33449,0.10344,27.664
138.27,0.30585,-0.14378,0.0
123.8,0.27805,0.39789,0.82823
141.14,0.24339,0.44442,0.012213
173.77,0.23153,0.23539,0.008982
209.17,0.22124,-0.22017,0.23298
215.01,0.21075,0.41942,1.1056
210.49,0.20428,0.031223,4.2732
145.59,0.26271,-0.37225,52.297
148.54,0.28155,-0.35211,27.016
144.18,0.36312,-0.15419,152.24
169.63,0.36138,-0.025027,10.015
156.73,0.3068,0.34819,4.5556
145.25,0.28147,-0.87403,19.781
124.54,0.27179,0.34264,0.42992
141.22,0.26127,0.56417,4.4985
172.91,0.24797,-0.39486,0.2798
193.39,0.23542,0.49958,4.1722
209.37,0.22316,0.73917,3.6206
216.75,0.25879,-0.44903,44.98
150.59,0.28601,-0.4525,26.587
167.1,0.33155,-0.65736,50.962
130.8,0.32825,0.065555,22.411
157.97,0.3238,-0.055279,16.841
168.19,0.25091,-0.10706,10.401
130.73,0.23773,-0.05428,15.823
124.14,0.2256,0.63739,0.2693
140.74,0.2529,0.25891,0.057431
172.03,0.23975,0.82489,0.034205
206.54,0.22791,0.019331,0.63403
216.72,0.21619,0.23391,2.1526
225.52,0.2096,-0.00428,7.5072
192.66,0.24121,0.11725,30.029
150.14,0.26681,-0.11261,25.652
159.44,0.26282,0.5603,5.3542
153.55,0.24991,-0.31053,14.322
155.85,0.29741,0.38769,2.0138
133.35,0.26531,1.2155,8.8015
121.4,0.25284,0.48214,2.1524
138.07,0.21599,0.97866,1.8946
171.53,0.21076,0.31964,5.246
204.45,0.20515,-0.26092,3.108
226.24,0.20033,-0.17134,4.8425
224.73,0.2016,1.0655,13.782
185.93,0.2331,0.011997,27.7
141.38,0.29359,0.98214,37.542
162.36,0.31673,0.48005,36.245
162.36,0.31507,0.78422,11.882
151.35,0.25869,0.63244,6.8913
136.21,0.24428,0.86022,15.686
119.41,0.23998,1.0519,0.34697
141.63,0.24094,0.92341,0.0
174.05,0.22992,0.71438,0.29968
208.04,0.22032,0.63383,3.7391
214.25,0.22721,0.19841,49.274
213.7,0.21513,0.46022,20.2
163.06,0.25731,-0.54325,46.687
147.43,0.26609,0.50188,15.528
155.93,0.26679,0.3498,22.99
157.97,0.27318,0.60397,13.342
152.08,0.21065,-0.57281,12.601
147.17,0.20836,-0.64503,0.10473
119.95,0.20088,-0.65337,0.02171
143.33,0.22512,0.11816,0.06339
177.22,0.21578,-0.31587,5.3065
198.77,0.20959,-0.19642,0.73822
220.57,0.21155,-0.83184,30.523
227.36,0.21296,0.054966,1.7621
205.1,0.20823,0.001494,19.254
165.07,0.20926,0.046633,9.7517
145.43,0.2097,0.51955,7.6489
153.3,0.21049,0.12372,8.9653
160.11,0.21903,-0.32806,12.288
134.83,0.20697,0.92472,0.9081
119.62,0.20164,0.51638,0.60563
141.63,0.19788,0.31291,0.39455
162.85,0.19542,0.35388,1.4318
198.49,0.19701,-0.42667,4.361
218.53,0.19323,-0.51209,1.2617
222.39,0.20043,-0.20028,17.878
161.32,0.21181,1.1462,17.487
112.85,0.22959,0.61638,23.581
149.94,0.23118,0.5143,16.753
147.15,0.22077,0.34347,5.5582
143.81,0.23958,0.041686,9.5823
143.03,0.23251,-1.0555,7.3514
122.23,0.21786,-0.68887,0.30429
141.43,0.19789,-0.11734,0.41949
172.5,0.1949,1.1236,0.012523
204.37,0.19244,1.3931,0.044135
222.37,0.19369,-0.067342,10.149
219.56,0.19175,0.26946,3.1667
137.42,0.23341,-0.95901,34.234
135.92,0.24131,0.11113,13.716
138.08,0.25824,0.009047,30.172
160.22,0.25882,-0.036786,18.78
143.45,0.22245,-0.76357,11.021
132.55,0.21665,-0.46079,0.60458
120.9,0.20962,-1.4941,1.7158
140.59,0.20891,-1.0976,0.000209
169.06,0.20272,-1.6566,2.0687
207.88,0.19914,0.23782,0.88591
218.82,0.19413,0.052407,4.3182
213.82,0.23596,-0.16079,50.727
209.78,0.23071,0.63574,15.244
134.81,0.23581,-0.29412,14.435
153.34,0.24297,0.2038,16.444
149.83,0.23384,-0.067037,6.7434
146.19,0.21117,0.13118,2.4125
139.44,0.20266,-0.66604,0.14314
123.37,0.19765,-0.074372,0.0
135.94,0.20337,-0.12784,0.67431
176.68,0.20043,-0.63687,10.671
210.07,0.19714,-1.0924,8.4357
214.16,0.19478,-0.62784,2.5346
208.08,0.19386,-0.51604,4.8828
172.84,0.2068,-0.16951,18.189
165.33,0.20308,0.52563,5.5867
142.09,0.21092,-0.051455,22.106
141.59,0.2192,-0.17229,34.69
163.28,0.20208,-0.34907,1.6736
131.72,0.19745,-0.49629,3.1376
121.37,0.19577,-0.75462,0.012916
142.59,0.19442,0.4919,0.4768
174.05,0.19227,-0.19212,1.2704
195.19,0.19125,-0.17268,3.0487
213.47,0.19195,-0.008095,3.6165
208.53,0.18952,0.45371,1.7902
184.41,0.20959,0.17524,22.3
124.52,0.21251,-0.40462,17.939
117.0,0.20895,-0.056706,16.006
170.12,0.20952,0.24746,12.435
151.05,0.21671,0.54568,1.7301
114.51,0.2062,-0.10154,3.9908
119.64,0.20426,-0.38487,0.0
140.85,0.19743,-0.28835,13.415
162.76,0.19191,-0.92237,0.3314
201.26,0.19035,0.34707,0.67698
222.12,0.19014,1.0367,5.0945
217.95,0.1911,1.2735,4.331
196.44,0.19599,0.24499,22.68
133.07,0.20917,0.065126,24.106
139.27,0.22338,0.23804,16.756
157.13,0.22167,-0.10779,14.158
158.83,0.1945,-0.30957,5.2901
132.72,0.19316,-0.15679,0.46837
117.5,0.18994,0.33487,0.072506
142.49,0.19842,-0.1686,0.040468
177.48,0.19474,-0.30263,4.2347
197.55,0.19275,0.41682,3.907
217.72,0.19105,-0.4686,0.38318
